incident_id,regulation_label,status,ringkasan_insiden,teks_pasal,ANOTATOR_relevant,pass2_relevant(test-retest),beda_antar_pass,catatan_anotator,claude_relevant,claude_roles,claude_conf,claude_alasan,BEDA_claude_vs_anotator,PUTUSAN_FINAL_ANDA,CATATAN_ANDA
kpu-dpt-jimbo-2023,UU_PDP_No27_2022 - Pasal 5,gold,"[2023 data_breach] Sekitar 27-28 November 2023 'Jimbo' menawarkan 204.807.203 data pemilih unik dari DPT (NIK, KK, KTP, nama, TTL, status, alamat, TPS) seharga ~USD 74.000, dengan 500.000 data contoh sebagai bukti. Resec","Subjek Data Pribadi berhak mendapatkan informasi tentang kejelasan identitas, dasar kepentingan hukum, tujuan permintaan dan penggunaan Data Pribadi, dan akuntabilitas pihak yang meminta Data Pribadi.",0,0,,Ps5 (hak atas informasi pengambilan data) tidak terpicu oleh pencurian data.,0,,85,hak informasi prosedural; tak terpicu breach eksternal,,,
pln-customer-data-leak-2022,UU_PDP_No27_2022 - Pasal 24,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak","Dalam melakukan pemrosesan Data Pribadi, Pengendali Data Pribadi wajib menunjukkan bukti persetujuan yang telah diberikan oleh Subjek Data Pribadi.",0,0,,Ps24 (bukti persetujuan) tidak terpicu oleh kebocoran eksternal.,0,,85,kewajiban bukti persetujuan; tak terpicu insiden,,,
mypertamina-44m-2022,UU_ITE_No1_2024 - Pasal 45A,gold,"[2022 data_breach] November 2022 dataset yang diatribusikan ke MyPertamina bocor dalam format CSV, memuat ~44 juta data dan ~6 juta email unik, plus nama, TTL, gender, alamat, telepon, dan riwayat pembelian. Have I Been ",(1) Setiap Orang yang dengan sengaja dan tanpa hak mendistribusikan dan/atau mentransmisikan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi pemberitahuan bohong atau informasi menyesatkan yang mengakibatkan,0,0,,Ps45A ITE 2024 (delik hoaks) bukan untuk insiden kebocoran data.,0,,95,delik hoaks konsumen; breach bukan hoaks,,,
malindo-lionair-30m-2019,UU_PDP_No27_2022 - Pasal 4,gold,"[2019 data_breach] September 2019 data penumpang anak usaha Lion Air Group, Malindo Air, bocor ke forum, mengeksposur rincian paspor, alamat, dan telepon (data pembayaran dilaporkan tidak terdampak). Peneliti Kaspersky m",(1) Data Pribadi terdiri atas: a. Data Pribadi yang bersifat spesifik; dan b. Data Pribadi yang bersifat umum. (2) Data Pribadi yang bersifat spesifik sebagaimana dimaksud pada ayat (1) huruf a meliputi: a. data dan info,0,0,,"Ps4 (definisi jenis data pribadi) bersifat definitif, bukan aturan operatif.",0,,92,pasal definisional kategori data,,,
pln-customer-data-leak-2022,UU_PDP_No27_2022 - Pasal 9,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak",Subjek Data Pribadi berhak menarik kembali persetujuan pemrosesan Data Pribadi tentang dirinya yang telah diberikan kepada Pengendali Data Pribadi.,0,0,,Ps9 (penarikan persetujuan) tidak terpicu oleh kebocoran.,0,,90,hak tarik persetujuan; tak terpicu,,,
pedulilindungi-jokowi-cert-2021,UU_PDP_No27_2022 - Pasal 63,gold,[2021 other] Awal September 2021 sertifikat vaksin Presiden Joko Widodo diakses dan beredar daring setelah pengguna mengeksploitasi fitur cek vaksinasi di aplikasi PeduliLindungi. Menkes menyatakan akses ke data pejabat ,(1) Masyarakat dapat berperan baik secara langsung maupun tidak langsung dalam mendukung terselenggaranya Pelindungan Data Pribadi. (2) Pelaksanaan peran sebagaimana dimaksud pada ayat (1) dapat dilakukan melalui pendidi,0,0,,Ps63 (peran serta masyarakat) terlalu umum; tidak terpicu insiden.,0,,93,peran serta masyarakat; bukan kewajiban/hak operasional,,,
cermati-data-breach-2020,UU_PDP_No27_2022 - Pasal 35,EXEMPLAR (few-shot),"[2020 data_breach] Data 2,9 juta pengguna Cermati dijual ~USD 2.200 di forum peretas, terungkap publik via Teguh Aprianto pada 4 November 2020, memuat nama, email, alamat, telepon, rekening bank, pekerjaan, NPWP, dan NIK","Pengendali Data Pribadi wajib melindungi dan memastikan keamanan Data Pribadi yang diprosesnya, dengan melakukan: a. penyusunan dan penerapan langkah teknis operasional untuk melindungi Data Pribadi dari gangguan pemrose",1,1,,Ps35 (kewajiban keamanan data) terpicu oleh kegagalan keamanan/kebocoran.,1,pse,97,Kewajiban keamanan data terpicu kegagalan keamanan,,,
inafis-polri-fingerprint-leak-2024,UU_PDP_No27_2022 - Pasal 46,EXEMPLAR (few-shot),"[2024 data_breach] Pada 22 Juni 2024 'MoonzHaxor' mengunggah data dugaan pembobolan INAFIS (citra sidik jari, email, berkas aplikasi SpringBoot) seharga ~USD 1.000. Kepala BSSN berkoordinasi dengan Polri dan menyatakan d","(1) Dalam hal terjadi kegagalan Pelindungan Data Pribadi, Pengendali Data Pribadi wajib menyampaikan pemberitahuan secara tertulis paling lambat 3 x 24 (tiga kali dua puluh empat) jam kepada: a. Subjek Data Pribadi; dan ",1,1,,Ps46 (notifikasi kegagalan pelindungan 3x24 jam) terpicu oleh kebocoran.,1,pse,97,Notifikasi kegagalan 3x24 jam; preseden adjudikasi manusia.,,,
kemenkes-patient-records-2022,UU_PDP_No27_2022 - Pasal 68,gold,"[2022 data_breach] Pada 6 Januari 2022 Kemenkes mengakui menyelidiki dugaan kebocoran ~6 juta rekam medis pasien (~720 GB) yang dijual di RaidForums, mencakup nama, rumah sakit, foto pasien, hasil rontgen, hasil lab/COVI",Setiap Orang yang dengan sengaja membuat Data Pribadi palsu atau memalsukan Data Pribadi dengan maksud untuk menguntungkan diri sendiri atau orang lain yang dapat mengakibatkan kerugian bagi orang lain sebagaimana dimaks,0,0,,Ps68 (pemalsuan data) bukan pencurian/kebocoran data.,0,,88,"delik pemalsuan data; insiden = perolehan/penjualan, delik salah",,,
satusehat-kotim-breach-2025,UNESCO_Recommendation_on_AI_Ethics_2021 - Bagian 75,gold,"[2025 data_breach] Sekitar 7 Agustus 2025 pengguna baru forum dark web menawarkan basis data yang diklaim dari instance SatuSehat Kabupaten Kotawaringin Timur, memuat timestamp, nomor rekam medis, nomor BPJS, nama, gende","77. Member States, as also suggested in the report of the United Nations Secretary-General's High-level Panel on Digital Cooperation, with the support of the United Nations and UNESCO, should adopt a digital commons appr",0,0,,Rekomendasi UNESCO (open data) tidak relevan dengan kebocoran.,0,,96,rekomendasi soft law UNESCO,,,
bank-jatim-bifast-fraud-2024,UU_PDP_No27_2022 - Pasal 40,gold,"[2024 fraud] Pada 22 Juni 2024, antara ~12.22-15.38 WIB, 483 transaksi BI-Fast anomali senilai ~Rp119,96 miliar menguras dana Bank Jatim. Pelaku memakai rekening atas nama orang lain untuk menampung transfer, lalu mengon",(1) Pengendali Data Pribadi wajib menghentikan pemrosesan Data Pribadi dalam hal Subjek Data Pribadi menarik kembali persetujuan pemrosesan Data Pribadi. (2) Penghentian pemrosesan Data Pribadi sebagaimana dimaksud pada ,0,0,,Ps40 (penghentian pemrosesan atas penarikan persetujuan) bukan untuk kasus fraud BI-Fast.,0,,93,kewajiban henti proses pasca tarik persetujuan; tak terpicu fraud,,,
ojk-ai-voice-deepfake-fraud-2025,Stranas_AI_Indonesia_2020-2045_Full - Bagian 39,gold,"[2025 ai_voice_fraud] OJK melaporkan dua metode penipuan AI paling umum di Indonesia adalah voice cloning (meniru suara kerabat/kolega/pejabat untuk meminta transfer mendesak) dan deepfake video, termasuk menembus pengec",Pasar digital Indonesia yang didominasi oleh teknologi impor. Perusahaan multinasional (asing) bermodal besar mendominasi proyek-proyek vital Indonesia dan banyak perusahaan rintisan jatuh ke tangan mereka. Turunnya kepe,0,0,,Stranas AI = strategi; bukan aturan operatif.,0,,96,narasi Stranas; aspiratif,,,
kejaksaan-agung-defacement-2025,UU_PDP_No27_2022 - Pasal 60,gold,"[2025 defacement] Pada Februari 2025 situs resmi Kejaksaan Agung (kejaksaan.go.id) terkena serangan defacement, dilaporkan via media sosial sekitar 10 Februari 2025. Pelaku, melalui handel Instagram, mengklaim mengakses ",Lembaga sebagaimana dimaksud dalam Pasal 58 ayat (2) berwenang: a. merumuskan dan menetapkan kebijakan di bidang Pelindungan Data Pribadi; b. melakukan pengawasan terhadap kepatuhan Pengendali Data Pribadi; c. menjatuhka,0,1,YA,Ps60 (kewenangan lembaga) terpicu—peran pengawasan/sanksi regulator atas kebocoran.,1,regulator,78,Kewenangan pengawasan dan sanksi lembaga PDP atas pengendali,YA,,
pln-customer-data-leak-2022,UU_PDP_No27_2022 - Pasal 4,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak",(1) Data Pribadi terdiri atas: a. Data Pribadi yang bersifat spesifik; dan b. Data Pribadi yang bersifat umum. (2) Data Pribadi yang bersifat spesifik sebagaimana dimaksud pada ayat (1) huruf a meliputi: a. data dan info,0,0,,"Ps4 (definisi) bersifat definitif, bukan operatif.",0,,92,definisional,,,
sri-mulyani-deepfake-2025,SE_Komdigi_No9_2023_Etika_AI - Bagian 15,gold,[2025 ai_disinformation] Pertengahan Agustus 2025 sebuah deepfake memanipulasi rekaman asli pidato Menkeu Sri Mulyani (7 Agustus 2025 di forum ITB) sehingga ia seolah menyebut guru 'beban negara'. Biro komunikasi Kemenke,Pelaksanaan dan Tanggung Jawab (SE Menkominfo No. 9 Tahun 2023). 1. Pelaksanaan: a) Penyelenggaraan Kecerdasan Artifisial dilandasi dengan etika dan kode etik yang berlaku bagi Pelaku Usaha dan PSE; b) Pelaksanaan progra,1,0,YA,"SE Etika AI (butir Pelaksanaan dan Tanggung Jawab) = instrumen tata kelola AI domestik yang operatif; terpicu oleh insiden AI (deepfake), konsisten dengan baris 10.",0,,90,"Blok penetapan/tembusan, bukan bagian operatif SE",YA,,
indihome-browsing-26m-2022,UU_PDP_No27_2022 - Pasal 4,gold,"[2022 data_breach] Agustus 2022 'Bjorka' memuat dataset 26.730.798 riwayat browsing pelanggan IndiHome (Agu 2018-Nov 2019) di BreachForums, mencakup tanggal, domain, platform, peramban, URL, plus NIK, email, telepon, dan",(1) Data Pribadi terdiri atas: a. Data Pribadi yang bersifat spesifik; dan b. Data Pribadi yang bersifat umum. (2) Data Pribadi yang bersifat spesifik sebagaimana dimaksud pada ayat (1) huruf a meliputi: a. data dan info,0,0,,"Ps4 (definisi) bersifat definitif, bukan operatif.",0,,92,definisional,,,
pedulilindungi-jokowi-cert-2021,UU_PDP_No27_2022 - Pasal 35,gold,[2021 other] Awal September 2021 sertifikat vaksin Presiden Joko Widodo diakses dan beredar daring setelah pengguna mengeksploitasi fitur cek vaksinasi di aplikasi PeduliLindungi. Menkes menyatakan akses ke data pejabat ,"Pengendali Data Pribadi wajib melindungi dan memastikan keamanan Data Pribadi yang diprosesnya, dengan melakukan: a. penyusunan dan penerapan langkah teknis operasional untuk melindungi Data Pribadi dari gangguan pemrose",1,1,,Ps35 (keamanan) terpicu—eksploitasi fitur aplikasi = kegagalan keamanan.,1,pse,90,kewajiban keamanan pengendali; pemetaan kerangka berlaku,,,
kai-stormous-ransomware-2024,UU_PDP_No27_2022 - Pasal 35,gold,"[2024 ransomware] Januari 2024 Stormous mengklaim membobol PT KAI via akses VPN memakai kredensial pegawai dan mencuri data pegawai, pelanggan, pajak, dan korporat, menuntut ~11,69 BTC (~Rp7,7 miliar) dengan ancaman publ","Pengendali Data Pribadi wajib melindungi dan memastikan keamanan Data Pribadi yang diprosesnya, dengan melakukan: a. penyusunan dan penerapan langkah teknis operasional untuk melindungi Data Pribadi dari gangguan pemrose",1,1,,Ps35 (keamanan) terpicu—akses via kredensial pegawai yang dicuri.,1,pse,96,kewajiban keamanan data pengendali; KAI operator,,,
mypertamina-44m-2022,UU_PDP_No27_2022 - Pasal 6,gold,"[2022 data_breach] November 2022 dataset yang diatribusikan ke MyPertamina bocor dalam format CSV, memuat ~44 juta data dan ~6 juta email unik, plus nama, TTL, gender, alamat, telepon, dan riwayat pembelian. Have I Been ","Subjek Data Pribadi berhak melengkapi, memperbarui, dan/atau memperbaiki kesalahan dan/atau ketidakakuratan Data Pribadi tentang dirinya sesuai dengan tujuan pemrosesan Data Pribadi.",0,0,,Ps6 (hak perbaikan/pembaruan data) tidak terpicu oleh kebocoran.,0,,90,hak perbarui data; tak terpicu,,,
pln-customer-data-leak-2022,UU_PDP_No27_2022 - Pasal 28,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak",Pengendali Data Pribadi wajib melakukan pemrosesan Data Pribadi sesuai dengan tujuan pemrosesan Data Pribadi.,0,0,,Ps28 (pemrosesan sesuai tujuan) tidak terpicu oleh pencurian pihak ketiga.,0,,75,prinsip kesesuaian tujuan; tidak spesifik terpicu,,,
bpjs-kesehatan-279m-2021,UU_PDP_No27_2022 - Pasal 9,EXEMPLAR (few-shot),"[2021 data_breach] Pada Mei 2021 akun RaidForums 'Kotz' menjual data yang diklaim milik ~279 juta peserta BPJS Kesehatan (NIK, KTP, telepon, email, nama, alamat, gaji), dengan ~20 juta disertai foto. Kasus diselidiki BSS",Subjek Data Pribadi berhak menarik kembali persetujuan pemrosesan Data Pribadi tentang dirinya yang telah diberikan kepada Pengendali Data Pribadi.,0,0,,Ps9 (penarikan persetujuan) tidak terpicu oleh kebocoran.,0,,96,Penarikan persetujuan tidak terpicu kebocoran,,,
npwp-tax-bjorka-2024,UU_PDP_No27_2022 - Pasal 60,gold,"[2024 data_breach] Pada 18 September 2024 'Bjorka' menawarkan ~6 juta data NPWP (NIK, NPWP, nama, alamat, kontak, data pajak) seharga ~USD 10.000; sampel menyebut Presiden Joko Widodo, Gibran, Kaesang, dan dua menteri. D",Lembaga sebagaimana dimaksud dalam Pasal 58 ayat (2) berwenang: a. merumuskan dan menetapkan kebijakan di bidang Pelindungan Data Pribadi; b. melakukan pengawasan terhadap kepatuhan Pengendali Data Pribadi; c. menjatuhka,0,1,YA,Ps60 (kewenangan lembaga) terpicu—pengawasan regulator atas dugaan kebocoran NPWP.,1,regulator,85,Kewenangan lembaga mengawasi dan menjatuhkan sanksi atas kebocoran.,YA,,
lazada-redmart-1-1m-2020,UU_ITE_No1_2024 - Pasal 28,gold,"[2020 data_breach] Pada 29 Oktober 2020 Lazada menemukan akses ilegal ke basis data lama layanan grosir RedMart. >1,1 juta akun dijual ~USD 1.500 di forum peretas, memuat email, hash kata sandi SHA-1, nama, telepon, alam",(1) Setiap Orang dengan sengaja dan tanpa hak mendistribusikan dan/atau mentransmisikan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi pemberitahuan bohong atau informasi menyesatkan yang mengakibatkan keru,0,0,,Ps28 ITE 2024 (delik hoaks/SARA/kerusuhan) bukan untuk insiden kebocoran.,0,,95,delik hoaks; breach bukan hoaks,,,
bank-indonesia-conti-ransomware-2022,Stranas_AI_Indonesia_2020-2045_Full - Bagian 56,EXEMPLAR (few-shot),"[2022 ransomware] Bank Indonesia mengonfirmasi serangan ransomware yang terjadi Desember 2021 dan dilaporkan peneliti Januari 2022. Conti menanam ransomware pada belasan sistem dan mengklaim ~13,88 GB dokumen yang mulai ","…memiliki kejelasan adanya risiko (vulnerabilities) yang dapat memberikan kerugian dan ancaman bagi manusia, khususnya masyarakat Indonesia. Oleh karena itu diperlukan kejelasan upaya mitigasi serta pengawasannya. Dengan",0,0,,Stranas AI = strategi; insiden non-AI (ransomware).,0,,97,Strategi AI aspiratif; insiden ransomware non-AI,,,
indodax-crypto-hack-2024,EU_AI_Act_2024 - Article 101,gold,"[2024 fraud] Pada 11 September 2024 penyerang menguras hot wallet Indodax lebih dari USD 22 juta (a.l. ~USD 14 jt ETH, USD 2,5 jt MATIC, USD 2,4 jt TRX, USD 1,4 jt BTC), diidentifikasi SlowMist dan CertiK. Indodax menang",Fines for providers of general-purpose AI models. 1. The Commission may impose on providers of general-purpose AI models fines not exceeding 3 % of their annual total worldwide turnover in the preceding financial year or,0,0,,EU AI Act Ps101 (denda penyedia GPAI) tidak relevan dengan peretasan bursa kripto.,0,,98,denda GPAI EU; yurisdiksi & subjek salah,,,
election-candidate-deepfakes-2024,UNGA_Res_78_265_Safe_Secure_Trustworthy_AI - Bagian 6,gold,"[2024 ai_disinformation] Menjelang Pemilu 14 Februari 2024, video deepfake AI tanpa label yang menampilkan capres Prabowo dan Anies seolah fasih berbahasa Arab beredar di TikTok. Pelaporan menyebut deepfake atas ketiga t","[...] the work of the Office of the United Nations High Commissioner for Human Rights regarding artificial intelligence, Taking note also of the report of the Secretary-General of the United Nations entitled ""Road map fo",0,0,,"Bagian preambul resolusi UNGA; aspiratif, bukan delik untuk deepfake pemilu.",0,,96,preambul resolusi; soft law,,,
jasamarga-jmto-breach-2022,SE_Komdigi_No9_2023_Etika_AI - Bagian 9,gold,"[2022 data_breach] Pada 25 Agustus 2022 DESORDEN mengumumkan membobol JMTO dan mengeksfiltrasi ~252 GB dari lima server. Setelah Jasa Marga menyatakan tak ada data pelanggan, DESORDEN meninjau dan memastikan data adalah ","h. Peraturan Menteri Komunikasi dan Informatika Nomor 3 Tahun 2021 tentang Standar Kegiatan Usaha dan Standar Produk pada Penyelenggaraan Perizinan Berusaha Berbasis Risiko Sektor Pos, Telekomunikasi, dan Sistem dan Tran",0,0,,SE Etika AI (definisi AI) vs insiden non-AI (kebocoran data korporat).,0,,96,daftar rujukan SE; bukan norma,,,
bsi-lockbit-ransomware-2023,UU_PDP_No27_2022 - Pasal 67,EXEMPLAR (few-shot),"[2023 ransomware] Pada 8 Mei 2023 layanan ATM dan cabang BSI lumpuh; LockBit mengklaim mencuri 1,5 TB data ~15 juta nasabah dan pegawai. Log negosiasi menunjukkan bank menawar ~USD 10 juta sementara LockBit menuntut USD ",(1) Setiap Orang yang dengan sengaja dan melawan hukum memperoleh atau mengumpulkan Data Pribadi yang bukan miliknya dengan maksud untuk menguntungkan diri sendiri atau orang lain yang dapat mengakibatkan kerugian Subjek,1,1,,Ps67 (pengungkapan data melawan hukum) tepat untuk pelaku publikasi data.,1,pelaku,98,Perolehan dan pengungkapan data melawan hukum oleh LockBit,,,
kejaksaan-agung-defacement-2025,UU_ITE_No19_2016 - Pasal 26,gold,"[2025 defacement] Pada Februari 2025 situs resmi Kejaksaan Agung (kejaksaan.go.id) terkena serangan defacement, dilaporkan via media sosial sekitar 10 Februari 2025. Pelaku, melalui handel Instagram, mengklaim mengakses ","(1) Kecuali ditentukan lain oleh peraturan perundang-undangan, penggunaan setiap informasi melalui media elektronik yang menyangkut data pribadi seseorang harus dilakukan atas persetujuan Orang yang bersangkutan. (2) Set",1,1,,Ps26 ITE (penggunaan data pribadi tanpa persetujuan; hak gugat) terpicu.,1,konsumen,70,penggunaan data tanpa persetujuan + hak gugat korban,,,
pln-customer-data-leak-2022,UU_PDP_No27_2022 - Pasal 33,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak","Pengendali Data Pribadi wajib menolak memberikan akses perubahan terhadap Data Pribadi kepada Subjek Data Pribadi dalam hal: a. membahayakan keamanan, kesehatan fisik, atau kesehatan mental Subjek Data Pribadi dan/atau o",0,0,,Ps33 (penolakan akses perubahan) salah sasaran untuk kebocoran.,0,,93,kewajiban menolak akses perubahan; tak terpicu,,,
kai-stormous-ransomware-2024,UU_PDP_No27_2022 - Pasal 33,gold,"[2024 ransomware] Januari 2024 Stormous mengklaim membobol PT KAI via akses VPN memakai kredensial pegawai dan mencuri data pegawai, pelanggan, pajak, dan korporat, menuntut ~11,69 BTC (~Rp7,7 miliar) dengan ancaman publ","Pengendali Data Pribadi wajib menolak memberikan akses perubahan terhadap Data Pribadi kepada Subjek Data Pribadi dalam hal: a. membahayakan keamanan, kesehatan fisik, atau kesehatan mental Subjek Data Pribadi dan/atau o",0,0,,Ps33 (penolakan akses perubahan) salah sasaran untuk ransomware.,0,,93,idem; tak terpicu,,,
